X,Y,Name
263,859,Rampion
371,831,Rampion
148,820,Rampion
309,814,Rampion
257,799,Rampion
416,785,Rampion
357,770,Rampion
137,764,Rampion
297,752,Rampion
693,750,Rampion
463,741,Rampion
637,735,Rampion
238,734,Rampion
798,724,Rampion
404,723,Rampion
186,718,Rampion
571,716,Rampion
351,710,Rampion
740,702,Rampion
516,702,Rampion
905,696,Rampion
291,692,Rampion
683,691,Rampion
851,682,Rampion
458,682,Rampion
230,675,Rampion
624,674,Rampion
397,665,Rampion
790,664,Rampion
172,657,Rampion
559,650,Rampion
956,650,Rampion
339,648,Rampion
731,646,Rampion
505,638,Rampion
898,637,Rampion
104,637,Rampion
271,625,Rampion
667,622,Rampion
445,620,Rampion
834,616,Rampion
218,612,Rampion
1003,606,Rampion
385,603,Rampion
771,599,Rampion
159,595,Rampion
944,592,Rampion
553,592,Rampion
325,585,Rampion
718,584,Rampion
492,575,Rampion
887,572,Rampion
98,569,Rampion
266,566,Rampion
1043,562,Rampion
432,557,Rampion
990,549,Rampion
208,548,Rampion
763,542,Rampion
372,540,Rampion
146,532,Rampion
539,532,Rampion
926,527,Rampion
705,522,Rampion
313,522,Rampion
479,513,Rampion
865,509,Rampion
78,511,Rampion
253,505,Rampion
1030,503,Rampion
420,495,Rampion
804,493,Rampion
194,488,Rampion
979,485,Rampion
753,477,Rampion
360,477,Rampion
134,470,Rampion
915,466,Rampion
300,460,Rampion
693,459,Rampion
74,452,Rampion
467,450,Rampion
240,442,Rampion
1021,435,Rampion
407,433,Rampion
791,428,Rampion
179,426,Rampion
966,422,Rampion
348,415,Rampion
741,413,Rampion
116,401,Rampion
904,403,Rampion
507,401,Rampion
680,396,Rampion
279,395,Rampion
846,389,Rampion
454,388,Rampion
621,379,Rampion
229,378,Rampion
1006,376,Rampion
787,370,Rampion
387,367,Rampion
949,354,Rampion
726,353,Rampion
327,349,Rampion
895,338,Rampion
831,322,Rampion
774,307,Rampion
943,297,Rampion
715,289,Rampion
881,280,Rampion
822,262,Rampion
982,251,Rampion
764,243,Rampion
922,230,Rampion
861,215,Rampion
908,1243,London Array
768,1237,London Array
632,1226,London Array
495,1218,London Array
1008,1213,London Array
358,1210,London Array
867,1207,London Array
729,1199,London Array
589,1193,London Array
451,1181,London Array
963,1179,London Array
313,1177,London Array
825,1171,London Array
687,1163,London Array
545,1154,London Array
417,1148,London Array
922,1143,London Array
273,1138,London Array
784,1135,London Array
644,1124,London Array
509,1118,London Array
370,1110,London Array
880,1107,London Array
231,1102,London Array
742,1097,London Array
611,1093,London Array
466,1082,London Array
980,1079,London Array
328,1074,London Array
839,1071,London Array
704,1064,London Array
190,1066,London Array
569,1057,London Array
425,1047,London Array
936,1044,London Array
794,1037,London Array
287,1038,London Array
661,1027,London Array
159,1029,London Array
522,1019,London Array
384,1011,London Array
895,1008,London Array
763,1001,London Array
618,991,London Array
479,982,London Array
998,982,London Array
342,974,London Array
855,971,London Array
716,964,London Array
204,964,London Array
576,957,London Array
439,947,London Array
950,944,London Array
301,939,London Array
818,938,London Array
169,932,London Array
674,928,London Array
536,919,London Array
398,911,London Array
908,906,London Array
259,902,London Array
772,897,London Array
633,892,London Array
126,892,London Array
494,883,London Array
877,877,London Array
1006,877,London Array
356,875,London Array
728,863,London Array
592,854,London Array
453,847,London Array
965,840,London Array
832,838,London Array
314,838,London Array
183,833,London Array
687,829,London Array
550,820,London Array
929,810,London Array
411,809,London Array
280,805,London Array
791,802,London Array
142,797,London Array
645,791,London Array
1017,781,London Array
508,783,London Array
373,775,London Array
888,774,London Array
232,767,London Array
750,766,London Array
94,758,London Array
604,754,London Array
473,750,London Array
977,742,London Array
327,741,London Array
846,738,London Array
701,726,London Array
570,722,London Array
432,714,London Array
935,707,London Array
286,706,London Array
798,700,London Array
151,696,London Array
86,694,London Array
667,694,London Array
525,685,London Array
391,678,London Array
896,673,London Array
253,669,London Array
764,667,London Array
619,656,London Array
487,650,London Array
349,642,London Array
854,636,London Array
211,633,London Array
716,629,London Array
578,618,London Array
446,614,London Array
308,606,London Array
819,603,London Array
674,590,London Array
543,586,London Array
405,578,London Array
267,570,London Array
771,563,London Array
639,558,London Array
501,550,London Array
364,541,London Array
874,539,London Array
225,534,London Array
736,531,London Array
598,522,London Array
457,511,London Array
322,506,London Array
831,501,London Array
695,495,London Array
557,486,London Array
419,478,London Array
927,471,London Array
281,470,London Array
792,467,London Array
654,459,London Array
515,450,London Array
379,444,London Array
881,436,London Array
744,425,London Array
612,423,London Array
474,414,London Array
847,407,London Array
336,406,London Array
705,392,London Array
571,387,London Array
433,378,London Array
799,363,London Array
668,359,London Array
530,351,London Array
391,342,London Array
764,331,London Array
625,322,London Array
488,314,London Array
859,305,London Array
723,295,London Array
587,288,London Array
447,278,London Array
817,263,London Array
682,259,London Array
544,251,London Array
773,225,London Array
640,223,London Array
500,213,London Array
737,195,London Array
599,187,London Array
688,155,London Array
562,153,London Array
654,123,London Array
608,81,London Array
399,737,Thornton Bank - phase II
332,670,Thornton Bank - phase II
495,634,Thornton Bank - phase II
260,604,Thornton Bank - phase II
407,549,Thornton Bank - phase II
180,536,Thornton Bank - phase II
599,527,Thornton Bank - phase II
108,468,Thornton Bank - phase II
311,462,Thornton Bank - phase II
504,448,Thornton Bank - phase II
702,438,Thornton Bank - phase II
841,378,Thornton Bank - phase II
215,375,Thornton Bank - phase II
406,359,Thornton Bank - phase II
610,355,Thornton Bank - phase II
764,308,Thornton Bank - phase II
308,271,Thornton Bank - phase II
511,267,Thornton Bank - phase II
693,242,Thornton Bank - phase II
413,178,Thornton Bank - phase II
617,174,Thornton Bank - phase II
772,126,Thornton Bank - phase II
538,107,Thornton Bank - phase II
691,59,Thornton Bank - phase II
282,515,Provence Grand Large
425,291,Provence Grand Large
564,74,Provence Grand Large
628,757,Vineyard Wind 1
563,694,Vineyard Wind 1
627,693,Vineyard Wind 1
691,692,Vineyard Wind 1
498,631,Vineyard Wind 1
562,630,Vineyard Wind 1
626,628,Vineyard Wind 1
690,627,Vineyard Wind 1
754,626,Vineyard Wind 1
363,628,Vineyard Wind 1
295,571,Vineyard Wind 1
368,568,Vineyard Wind 1
432,567,Vineyard Wind 1
497,566,Vineyard Wind 1
561,565,Vineyard Wind 1
625,564,Vineyard Wind 1
689,563,Vineyard Wind 1
817,561,Vineyard Wind 1
753,561,Vineyard Wind 1
239,507,Vineyard Wind 1
303,506,Vineyard Wind 1
367,504,Vineyard Wind 1
431,503,Vineyard Wind 1
560,501,Vineyard Wind 1
496,501,Vineyard Wind 1
624,500,Vineyard Wind 1
688,499,Vineyard Wind 1
752,498,Vineyard Wind 1
817,496,Vineyard Wind 1
881,495,Vineyard Wind 1
302,441,Vineyard Wind 1
430,439,Vineyard Wind 1
367,439,Vineyard Wind 1
494,438,Vineyard Wind 1
559,436,Vineyard Wind 1
623,435,Vineyard Wind 1
751,433,Vineyard Wind 1
687,433,Vineyard Wind 1
815,432,Vineyard Wind 1
879,431,Vineyard Wind 1
429,374,Vineyard Wind 1
365,374,Vineyard Wind 1
494,373,Vineyard Wind 1
622,371,Vineyard Wind 1
558,371,Vineyard Wind 1
686,370,Vineyard Wind 1
750,368,Vineyard Wind 1
879,367,Vineyard Wind 1
814,367,Vineyard Wind 1
428,310,Vineyard Wind 1
492,309,Vineyard Wind 1
556,307,Vineyard Wind 1
621,306,Vineyard Wind 1
685,305,Vineyard Wind 1
749,304,Vineyard Wind 1
813,303,Vineyard Wind 1
555,243,Vineyard Wind 1
491,243,Vineyard Wind 1
620,241,Vineyard Wind 1
684,240,Vineyard Wind 1
619,177,Vineyard Wind 1
683,175,Vineyard Wind 1
618,113,Vineyard Wind 1
357,874,Yunlin
412,857,Yunlin
456,849,Yunlin
503,844,Yunlin
547,841,Yunlin
346,826,Yunlin
603,819,Yunlin
551,767,Yunlin
345,758,Yunlin
648,754,Yunlin
425,753,Yunlin
606,743,Yunlin
482,733,Yunlin
531,728,Yunlin
397,722,Yunlin
345,706,Yunlin
699,686,Yunlin
578,683,Yunlin
455,665,Yunlin
626,658,Yunlin
408,651,Yunlin
672,650,Yunlin
507,625,Yunlin
354,615,Yunlin
556,610,Yunlin
397,606,Yunlin
727,596,Yunlin
611,589,Yunlin
464,584,Yunlin
676,574,Yunlin
529,551,Yunlin
438,549,Yunlin
359,548,Yunlin
737,519,Yunlin
616,515,Yunlin
525,493,Yunlin
580,488,Yunlin
683,488,Yunlin
418,488,Yunlin
376,471,Yunlin
498,454,Yunlin
747,443,Yunlin
576,438,Yunlin
636,417,Yunlin
703,406,Yunlin
441,401,Yunlin
484,392,Yunlin
383,392,Yunlin
752,363,Yunlin
615,353,Yunlin
571,351,Yunlin
443,337,Yunlin
539,324,Yunlin
397,314,Yunlin
491,307,Yunlin
716,307,Yunlin
767,282,Yunlin
669,279,Yunlin
451,258,Yunlin
634,243,Yunlin
588,243,Yunlin
544,241,Yunlin
421,230,Yunlin
728,229,Yunlin
505,224,Yunlin
778,209,Yunlin
476,176,Yunlin
601,160,Yunlin
559,157,Yunlin
648,154,Yunlin
692,152,Yunlin
738,146,Yunlin
783,129,Yunlin
532,120,Yunlin
625,69,Yunlin
666,68,Yunlin
746,67,Yunlin
585,66,Yunlin
254,485,Egmond aan Zee
298,469,Egmond aan Zee
220,443,Egmond aan Zee
263,428,Egmond aan Zee
313,423,Egmond aan Zee
184,401,Egmond aan Zee
279,380,Egmond aan Zee
330,374,Egmond aan Zee
